temp_09.tif,temp_10.tif,temp_11.tif,temp_12.tif,temp_13.tif,prep_09.tif,prep_10.tif,prep_11.tif,prep_12.tif,prep_13.tif,spi_09,spi_10,spi_11,spi_12,spi_13,di_09,di_10,di_11,di_12,di_13,st_200_e,st_100_e,st_60_e,cl_13_e,cl_12_e,cl_11_e,cl_10_e,soc_0.tif,soc_10.tif,soc_30.tif,cl_09,st_0,st_30_e,total_carb,organic_ca,ra_ca_id,date,datafrom,so_cstock5,so_cstock30,so_cstock100,geometry
14.74050045,14.62675095,15.06433392,15.72116756,14.23050022,98.7322464,98.7322464,128.781662,104.9983749,153.0924225,-1.346111059,0.733611107,-0.298194438,0.025694445,0.657083333,-0.825694442,1.200277805,-1.78347218,-1.982777834,0.578194439,4,4,4,37,176,176,176,6,4,2,37,7,7,NA,NA,C1807P20,2012,raca,19.81274745,35.42174292,54.76519753,"c(-85.31, 34.41)"
15.01733398,15.31683445,15.87208366,16.45066833,14.96508408,95.57575226,95.57575226,102.0755005,89.99468231,141.4956665,-1.157361031,1.276944399,-0.9375,-1.030833364,0.477083355,0.245000005,2.26555562,-3.369166613,-4.711805344,-0.492361099,4,4,4,141,141,142,142,6,4,2,141,8,7,NA,NA,C1401F20,2012,raca,78.48621817,143.3303149,157.4534162,"c(-85.3, 33.62)"
15.04825115,15.26533413,15.83700085,16.42075157,15.11758423,97.68482971,97.68482971,94.92883301,97.74676514,140.4641724,-1.211527705,1.307361126,-0.697222233,-0.877499998,0.57361114,0.426666677,3.075694561,-2.604583263,-3.974166632,-0.028888885,4,4,4,141,142,152,152,5,4,1,1,7,7,NA,NA,C1401F31,2012,raca,97.64551646,155.3921752,160.1866241,"c(-85.26, 33.34)"
15.18158436,15.30308437,15.8601675,16.46050072,14.51875019,103.1454163,103.1454163,136.6162567,102.9134598,146.7501678,-1.125972152,0.929305553,0.578333318,0.693611085,1.33930552,-1.000138879,1.810138941,0.50666666,-0.437361121,2.005416632,4,4,4,37,37,37,37,3,3,1,176,8,7,NA,NA,C1806P13,2012,raca,13.56012217,47.73953578,150.4767158,"c(-85.26, 34.86)"
15.11266708,15.44116688,15.82516766,16.51016808,15.16808414,93.89450073,93.89450073,99.1238327,89.78994751,150.5005035,-1.221388817,1.240694523,-0.912083328,-1.025555611,0.433472216,-0.381111115,2.269583225,-3.241250038,-4.700416565,-0.337916672,7,4,4,121,121,121,121,8,4,1,121,7,4,NA,NA,C1401F05,2012,raca,93.39667848,154.4570912,159.8718735,"c(-85.26, 33.74)"
14.99216747,15.29591751,15.69291782,16.44825172,15.1505003,91.63783264,91.63783264,102.9766617,91.15487671,154.6919098,-1.221388817,1.240694523,-0.912083328,-1.025555611,0.433472216,-0.381111115,2.269583225,-3.241250038,-4.700416565,-0.337916672,4,4,4,141,141,141,141,5,3,2,141,7,7,NA,NA,C1401F09,2012,raca,9.510672851,24.98424024,33.59175014,"c(-85.25, 33.78)"
15.71025085,15.52350044,15.87200069,16.71100044,15.10491753,94.00299835,94.00299835,112.4314194,94.28649902,145.8910065,-1.420138836,0.775416672,-0.531944454,-0.556249976,0.415694445,-0.942638874,1.459166646,-2.276666641,-3.235694408,0.019166676,4,4,4,122,122,122,122,4,3,1,122,7,7,NA,NA,C1808W05,2012,raca,16.18359556,49.82240616,59.67800487,"c(-85.24, 34.26)"
15.34266758,15.5324173,16.12650108,16.77266693,15.4072504,101.3863373,101.3863373,95.23458099,98.27406311,137.8700867,-1.190555573,1.475694418,-0.475833327,-0.959027767,0.459444433,-0.236249998,3.396527767,-1.797083378,-4.06791687,-0.359722227,4,4,4,142,142,142,142,4,3,2,142,7,7,NA,NA,C1407P10,2012,raca,29.09540872,72.64171052,101.1045776,"c(-85.23, 33.37)"
15.23541737,15.26691723,15.75141716,16.83125114,15.26591778,95.31816864,95.31816864,106.6680832,82.91770172,152.8587494,-1.343611121,0.995694458,-0.645277798,-0.844166636,0.225138888,-0.738611102,1.855694413,-2.754444361,-4.283888817,-0.765555561,4,4,4,143,143,142,142,3,2,1,141,8,7,NA,NA,C1808W04,2012,raca,17.5790343,70.28447881,138.0815475,"c(-85.18, 34.06)"
15.23891735,15.46008396,15.88033485,16.70733452,15.32158375,88.03941345,88.03941345,105.8924179,82.40126801,145.2035828,-1.262499928,1.228611112,-0.971666694,-1.004583359,0.378749996,-0.514444411,2.110416651,-3.340972185,-4.634444237,-0.454444438,4,4,4,141,141,141,141,8,6,3,141,7,4,NA,NA,C1401P17,2012,raca,18.30395966,80.52549098,84.91128239,"c(-85.16, 33.78)"
